date,body
['2021-04-19 15:50:42'],['I like the app so usefull and i can…                                I like the app so usefull and i can exchange btc so fast thanks']
['2021-04-19 14:16:20'],['Mangtabz                                MangtabzWhen withdraws']
['2021-04-19 14:13:07'],"['I had some troubles with their exchange…                                I had some troubles with their exchange in the past, but now it works smooth - you need more listings on the local marketplace tho']"
['2021-04-19 12:04:43'],"[""Deposit and withdrawal takes ages                                If you want to deposit/withdraw your coins often then don't use bitcoin.com. My first deposits and withdrawals were without any problem, but soon it got worse.Average time of withdrawal is 1 and half hours and it takes 30-60 minutes to get your deposit credited. For example I was credited my deposit after 59 confirmations, while on other exchanges it is after 5-6 confirmations.Otherwise there is nothing wrong with this exchange, so if you like to just hold and trade your coins I don't see any reason to not use this exchange.""]"
['2021-04-19 10:04:54'],"['You can let me spend my money                                You can let me spend my money, but I can’t use/ spend or cash the coin. ? I just wanted to get some silver! Message I get is the option is not available in my region? I’m really dissatisfied. I’m not a tech genius, I’ve added the wallet, actually 2 now I have bitcash and coin, not access in my region! I’m in Seattle! So I have Robinhood, and no issues, I can move stuff at will using the account I buy with no problem. I think I got burned by Bitcoin.com.    Also Starzan is my horse, Tarrzan is my game name on google account 😷I don’t feel good about google either']"
['2021-04-19 08:59:33'],['very good site']
['2021-04-19 03:36:07'],"[""I'm not happy I want to sell and close…                                I'm not happy I want to sell and close this account""]"
['2021-04-17 14:57:52'],"['Being new to the whole Crypto world I…                                Being new to the whole Crypto world I thought it would be a good idea to start out slowly and cautiously so my transactions were $20.00, $25.00 until I reached $100.00 USD worth of Bitcoin. Next thing I know I was informed by MoonPay that I have been permanently banned, prohibited from purchasing any more  crypto currency. I feel I was treated unjustly. I tried to enquirer as to best resolve this but my questions go unanswered. I was informed that I can spend my crypto currency but my privileges have been revoked. I’m only human, I make mistakes too. Can someone please help me to understand *^*# is happening, or should I leave MoonPay and try another crypto exchange instead?']"
['2021-04-17 14:57:46'],['So far so good I love these guys                                So far so good I love these guys. What I love about them is that I brought the wrong bitcoins. I end up getting bitcoin cash so I had to make 2 sales but they only did one. And I love that. So yes so far so good']
['2021-04-17 11:38:49'],['Fairly good                                Does wat it says']
['2021-04-17 08:32:21'],"[""Pure THIEVES                                Pure THIEVES.  I'm reporting this to the consumer financial protection agency.   Plus wells fargo.  They steal.""]"
['2021-04-17 05:12:10'],['give me more bitcoin                                please give me more bitcoin and make bitcoin games']
['2021-04-16 16:29:27'],['I have moved my wallet to a new iPhone                                I have moved my wallet to a new iPhone. I could install the App Bitcoin.Com. But the wallet is empty.I know that I have Bitcoins and Bitcash there.How can I transfer the funds?Best regardsFriedrich-W. Fritz']
['2021-04-16 04:04:51'],['These guys are so good they must be…                                These guys are so good they must be brits']
['2021-04-15 11:33:19'],"[""This is the most non-intuitive soft I…                                This is the most non-intuitive soft I have seen. I have tried it on my android phone and it didn't work. I would love to try it on my computer but, I have no idea what the address of my wallet is. So, I can't even try it.""]"
['2021-04-15 10:36:43'],['Very simple to use']
['2021-04-15 09:15:58'],"[""Hi Dear Madam/Sir.                                Hi Dear Madam/Sir.Last time i did get big lost of Bitcoin. and also many time I was contact with Bitcoin team but I didn't get any answer from Bitcoin team.So that's way know I decide I don't want to investment  my money in Bitcoin.""]"
['2021-04-14 19:59:19'],['ok...good time and good play']
['2021-04-14 14:22:56'],"[""Account has been hacked and bitcoin…                                Account has been hacked and bitcoin taken even with 2FA enabled. I am now locked out of the account and can't get back inI cannot find how I report this to your support service and cannot for the life of me find the chat agents.Really upset, I used you due to good reviews and it's taken less than a month for all my bitcoin to be stolen""]"
['2021-04-14 04:53:53'],"['Copy wallet                                This wallet use is some how a little different to other wallets where you supposed to be making a copy from the original wallet , but how come will i do get it into its original wallet back ?!']"
