Sentence,Score
Agenus Inc.  AGEN  CEO Garo Armen on Q       Results - Earnings Call Transcript,0.00018400978660793044
Mar.               PM ETAgenus Inc.  AGEN   Comments,5.496310768648982e-05
Q       -  -   Earnings Summary,0.0007105459662852809
EPS of -  .   beats by   .     Revenue of    .  M  - .    Y Y  beats by    .  M,0.04208123730495572
Agenus Inc.  NASDAQ AGEN  Q       Earnings Conference Call March               AM ET,2.175237750634551e-05
Company Participants,0.045111452229321
Jan Medina - Director of Investor Relations,-9.710614540381357e-05
Garo Armen - Chairman   Chief Executive Officer,-9.897290146909654e-05
Jennifer Buell - President   Chief Operating Officer,0.00046335400111274794
Andy Hurley - Chief Commercial Officer,0.0006922426873643417
Christine Klaskin - Vice President of Finance,8.25442184577696e-05
Steven O Day - Chief Medical Officer,0.00013812678662361577
Conference Call Participants,0.00042582026799209416
Mayank Mamtani - B. Riley Securities,0.0026914956397376955
Matt Phipps - William Blair,-0.0006355653895298019
Operator,-0.004182040225714445
Good morning  ladies and gentlemen. Thank you for standing by and welcome to the Agenus Fourth Quarter      Conference Call and Webcast. At this time  all participants are in a listen-only mode.  Operator Instructions  After today s presentation  there will be an opportunity to ask questions.  Operator Instructions  Please note that this event is being recorded and may be used in future Agenus promotional material.,0.3548464844789123
I would now like to turn the conference over to Jan Medina  Director of Investor Relations. Jan  please go  ahead.,0.05432845279574394
Jan Medina,-0.0013248022878542542
Thanks  Liz  and thank you all for joining us today. Today s call is being webcast and we will be available on our website for replay. Before we start  I just want to quickly introduce myself. I know  I ve spoken with a number of you already over the last month or so  but I started here at Agenus back in February. I would help lead the Investor Relations efforts. Certainly  it s a very promising time for the company. I m looking forward to being part of the conversations we re having with the investment community.,0.4862594042206183
With that said  I just want to remind you that this call will include forward-looking statements  including statements regarding our clinical development  regulatory and commercial plans and time lines  as well as time lines for data release and partnership opportunities. These statements are subject to risks and uncertainties and we refer you to our SEC filings for more details on these risks. As a reminder  this call is being recorded for audio broadcast.,-0.00325805286411196
Joining me today are Dr. Garo Armen  Chairman and Chief Executive Officer  Dr. Jennifer Buell  President and Chief Operating Officer  Andy Hurley  Chief Commercial Officer  and Christine Klaskin  Vice President of Finance.,0.0238877049414441
Also available during the question-and-answer session will be Dr. Steven O Day our Chief Medical Officer. Dr. O Day joined Agenus earlier this year as well  along with a number of other key hires and brings clinical development expertise to Agenus at this pivotal time.,0.016549952459172346
Now  I ll turn the call over to Garo to highlight our key accomplishments and our goals for     . Garo ,0.0704051605425775
Garo Armen,-0.023363035870715976
Good morning. Thank you very much. In       our pipeline continued to grow with an arsenal of agents designed to activate the immune system across different types of patients and cancers on one hand  while also addressing immunotherapy resistance pathways across many tumor types and the other.,0.4761974765569903
We expect these advances will contribute to the I-O field on multiple fronts. For instance  we are advancing AGEN     s clinical development and generating responses in patients who are unlikely to otherwise respond to immunotherapy.,0.019017105572856963
We expect to advance AGEN     to registrational studies this year. We ve also made substantial advances with our TIGIT programs  demonstrating the unique attributes of our bispecific antibody  which is IND-ready.,0.1305794392246753
One of our notable achievements during      was the completion of patient enrollment and data analysis of our two most clinically advanced agents  balstilimab  which is our PD-  antibody  and zalifrelimab  which is our first-generation CTLA-  antibody. We call these bal and zal for short.,0.4017303410801105
We are progressing with the completion of our BLA filing for bal and will proceed with our strategy regarding the potential bal plus zal filing  once bal s BLA filing has been accepted. It is our aim to use balstilimab as the foundation for several of our pipeline agents as well as offer our bal for use with therapies from other companies  which require combination with a PD-  blocker. Our objective is to rapidly enable synergistic combinations to advance the field.,0.041758889907214325
Synergistic combinations for our agents include cell therapies through our subsidiary AgenTus. While we are continuing our allogeneic intelligent iNKT cell therapy in patients with COVID-    we will be advancing these intelligent cells into cancer trials with combinations around mid-year.,0.006147445055830758
